Zip,Total Population,Median Age,Percent White,Percent Black,Percent Hispanic,Median Income,Mean Income
10538,16972,41.5,93.8,0.3,5.5,149347,253563
10541,26328,41.3,92.1,0.8,11.2,103244,117293
10543,19922,41,75.2,4.2,21.5,87869,144162
10545,111,37.4,67.6,12.6,4.5,,
10546,1244,41.9,67.1,4.3,17,112426,200388
10547,8171,41.9,82.5,7.1,17.4,84167,115876
10548,3174,46.7,83.5,6,6.9,98083,123292
10549,15475,39.2,72,4.9,26.9,79153,135231
10550,36523,34.2,17.5,67.1,17.9,40912,53012
10552,20116,41.5,50.3,37.2,12.5,64848,89895
10553,10507,39.8,7.2,86.5,9.5,63740,70697
10560,4819,48.2,91.3,1.5,6.6,120313,198356
10562,31348,40,63,12.7,35,78028,106365
10566,23392,36.2,48.4,21.7,37.1,58675,74257
10567,19743,41.8,81.1,7.3,13.7,102919,126861
10570,12501,38.9,90.3,2.5,8.6,133714,186325
10573,38017,37.9,56.7,7.3,43.8,61795,109897
10576,5261,46.7,92.2,1.2,5.3,205982,316951
10577,4623,20.1,82.7,6.8,11.9,197692,398411
10578,773,39.7,82.7,0.3,3.8,124659,215251
10579,8741,41.1,88.6,1,15.7,98063,112428
10580,17210,41.5,91.5,1,4.8,149973,282194
10583,38204,42.4,82.3,1.3,3.4,165797,249547
10588,1883,41.5,84.6,1.9,6.3,87885,95762
10589,8348,56.3,95,0.8,2.8,96845,123331
10590,6601,44.2,93.6,0.7,4.1,135000,181651
10591,22548,37.3,75.2,6.2,31.5,78849,115338
10594,5083,39.3,89.3,1.6,12.6,106847,127342
10595,8071,36,70.5,11.8,14.3,99922,118308
10596,799,44.2,76.7,0,32.5,58539,62902
10597,954,46.4,85.1,0,6.7,222188,288888
10598,28717,43.3,90,2.3,7.4,103909,129073
10601,10160,40.4,55.7,18.6,24.9,68776,93097
10603,18138,36.6,52.8,25.7,25.4,86278,111703
10604,11737,40.5,71.4,6.5,27.9,81563,134350
10605,18778,43.6,82,6.7,15.8,102509,140183
10606,15657,37.3,53.6,16,43.6,58615,95297
